ID,n7HRing,nS,n6aHRing,SlogP_VSA11,NddssS,nG12FHRing,SlogP_VSA7,n7Ring,SMR_VSA6,GATS2pe,SLogP,n10FaRing,AATSC0pe,Xch-6dv,VSA_EState6,nBridgehead,JGI6,AATS2Z,ATSC6v,NddsN,ATSC6dv,EState_VSA9,Xch-6d,AATSC2v,nCl,AATSC0i,JGI10,NdS,JGT10,ATSC7v,VSA_EState7,FilterItLogS,n5Ring,Xc-5d,EState_VSA2,AATS1p,NaaCH,AATSC0d,GATS1pe,ATSC7p,Xc-5dv,C1SP3,NssssN,ATSC5p,AATS0v,n7aRing,n10FARing,nRing,ATSC2v,n10FRing,GATS1Z,Xch-3d,NdsN,nG12Ring,CIC0,ATSC4Z,GATS2d,nAromAtom,ATSC2dv,fMF,ATSC8dv,nFAHRing,Class
D0374,0,1,0,11.49902367,0,0,0,0,103.7594636,0.628132038,-7.96449,0,0.139312811,0.482804126,-6.731083917,0,0.016284643,19.10209424,-219.0268512,0,-236.9774807,62.09719063,1.066496581,-5.118424018,0,1.428606214,0.007112116,0,0.451297368,547.4737152,5.134279507,-17.66714883,5,3.433463332,242.4930883,1.658887133,20,0.559717039,0.854906901,2.542368384,0.896593885,21,0,3.358204323,194.1706776,0,0,9,-3910.475949,0,0.900741046,0,0,0,7.058238552,-113.4354983,1.41374314,32,258.7105428,0.270334928,112.5814453,0,0
D0848,0,2,0,0,0,0,0,0,39.89570513,0.923373419,6.0007,0,0.103583405,0.275888545,18.43827254,0,0.01641208,20.61616162,-659.2541175,0,16.50475054,9.473725908,0.559623006,-0.833038709,0,1.535808709,0.004276948,0,0.368970395,942.6806598,3.995104832,-9.071417327,2,0.451184464,30.62885786,1.824080292,13,0.505371648,0.759579297,4.66930523,0.211222078,9,0,2.122745075,210.9048794,0,0,5,-164.9416643,0,0.807015624,0,0,0,5.137551709,-206.2691938,1.455336287,22,-30.73068002,0.439252336,-114.7120273,0,0
D0173,0,0,0,0,0,0,0,0,12.42658615,0.61064386,2.9722,0,0.133837061,0.102381562,14.17935974,0,0.018885931,25.25423729,-145.4872436,0,-14,0,0.3742276,0.680815262,0,1.600091379,0.00596311,0,0.427077887,-93.41910805,-0.611443021,-4.285403531,1,0.275783423,11.73158423,1.86864573,8,0.591020408,0.722661128,-0.811667626,0.052654591,0,0,-0.276513355,244.5563987,0,0,3,40.16810047,0,0.677078836,0,0,0,3.474728324,-63.24,1.100407342,15,16.64,0.457142857,-16.6,0,1
D0723,0,0,0,5.749511833,0,0,0,0,27.74989791,1.194453094,2.6346,0,0.08937438,0.099946561,7.897401975,0,0.016970999,16.24096386,-1081.525771,0,-90.83471074,4.736862954,0.155502117,6.736333645,0,1.322169797,0,0,0.521943967,-449.5816581,4.243043194,-3.287766796,0,0.488641942,0,1.685187809,4,0.567665289,0.920231288,-1.247585243,0.210839023,1,0,-1.397149535,187.0331765,0,0,2,559.1156925,0,1.034288349,0,0,0,4.138554653,-3.330578512,1.66971069,6,1.355371901,0.272727273,4.867768595,0,0
D0846,0,1,0,0,0,0,0,0,11.50570721,0.435461692,1.4326,0,0.14723216,0.33380633,-0.851485193,0,0.025651927,19.35632184,-177.798087,0,-92.93795556,15.94672227,0.651665913,-4.23139705,0,1.395780103,0.01014876,0,0.585933343,-734.3300968,4.437605362,-1.859956908,0,0.603553391,22.93711556,1.751853668,0,0.6096,0.828498203,-2.319715259,0.157588137,4,0,0.022033952,194.996145,0,0,1,-368.1315434,0,0.867723493,0.204124145,0,0,3.996421463,117.5424,1.829351072,0,57.0912,0.06,-107.1336889,0,0
D0500,0,0,0,0,0,1,0,0,7.109797541,0.62737335,3.1245,0,0.133064,1.121541847,0,0,0.029075334,20.20930233,614.0112286,0,-24.63,14.21058886,1.868179343,7.268722296,0,1.315761162,0.006573382,0,0.664921394,-1003.753931,7.612235738,-4.220327932,2,1.842811061,52.40952099,1.814950605,0,0.888888889,0.614154149,-0.517212924,1.294939086,2,0,-2.464333211,206.5877106,0,0,6,937.6651762,0,0.781259476,0.204124145,0,0,4.545926548,-442.85,1.543604651,0,28.81,0.366666667,9.93,1,0
D0097,0,0,1,0,0,0,0,0,6.606881965,0.748633783,-0.19628,0,0.184212109,0.10511154,-0.542468348,0,0.02031746,23.72413793,-176.205302,0,-33.796875,15.37451935,0.247193875,0.097167194,0,1.506497879,0,0,0.531512088,-183.9854967,0.328801493,-1.008385734,1,0.414266427,13.02770359,1.611461445,1,0.663085938,0.716467084,-1.162009992,0.096622903,3,0,-0.540549261,210.0434897,0,0,2,5.635697242,0,0.693319428,0,1,0,3.15420743,-81.25,1.297242395,6,10.90625,0.34375,15.4375,0,1
D1058,0,0,0,11.49902367,0,0,0,0,0,0.625874181,-0.4569,0,0.211630917,0.024056261,2.002106954,0,0.028408163,25.1,-89.4867903,0,-2.307692308,21.05324966,0.068041382,-3.408409472,0,1.333854228,0,0,0.586801899,-20.20869779,-1.436111111,0.662453024,0,0.566452912,11.31296332,1.646443773,3,0.705621302,1.081231979,-0.042028444,0.08059665,0,0,-0.830521002,210.7246678,0,0,1,-136.3363789,0,0.8984375,0,0,0,3.00741205,-120.0532544,1.669287212,6,-2.213017751,0.230769231,1.035502959,0,1
D0005,0,0,0,5.749511833,0,0,5.022633314,0,6.606881965,0.792053932,3.0605,0,0.143893861,0.027777778,6.836174572,0,0.025751391,22.41509434,-142.2580613,0,14.59672923,21.0746658,0.083333333,6.852902085,1,1.276173537,0,0,0.624397894,1168.299256,0,-3.458985724,0,0.49279928,5.969305288,1.771918215,4,0.636836629,0.669295353,5.552289382,0.075687358,4,0,-5.249419533,216.1807186,0,0,1,363.2038105,0,0.625,0,0,0,3.431541821,-167.3704475,1.619959304,6,35.11816395,0.193548387,-9.712490847,0,1
D0126,0,0,0,17.2485355,0,1,0,0,33.41307428,1.234819668,3.738,0,0.115397959,0.149363405,21.57988293,0,0.011671958,20.61,-912.1422501,0,-26.87755102,14.21058886,0.446735636,-0.25374909,0,1.438694402,0.003697485,0,0.31959717,214.237048,-0.628033772,-6.480395438,1,0.307846747,6.606881965,1.791396809,11,0.515306122,0.885092457,0.467712139,0.085538005,4,0,-2.506540629,220.0852581,0,0,4,-25.37490899,0,0.825888121,0,0,0,4.325902369,-55.08163265,1.095915842,19,-5.959183673,0.482142857,-13.67346939,0,1
